user_id,product_id,asset_class,risk_level,expected_return,volatility,recommended_weight,personalized_risk_aversion
U001,P113,cash_equivalents,R2,0.014,0.003,0.3863,3.0000000000000004
U001,P022,equities,R2,0.085,0.153,0.0762,3.0000000000000004
U001,P052,alternative_assets,R2,0.085,0.153,0.0762,3.0000000000000004
U001,P082,equities,R2,0.085,0.153,0.0762,3.0000000000000004
U001,P037,fixed_income,R2,0.102,0.185,0.0705,3.0000000000000004
U001,P097,fixed_income,R2,0.102,0.185,0.0705,3.0000000000000004
U001,P067,cash_equivalents,R2,0.102,0.185,0.0705,3.0000000000000004
U001,P073,fixed_income,R3,0.123,0.227,0.0579,3.0000000000000004
U001,P013,fixed_income,R3,0.123,0.227,0.0579,3.0000000000000004
U001,P043,cash_equivalents,R3,0.123,0.227,0.0579,3.0000000000000004
U002,P113,cash_equivalents,R2,0.014,0.003,0.2166,1.2000000000000002
U002,P118,cash_equivalents,R2,0.011,0.002,0.2149,1.2000000000000002
U002,P116,cash_equivalents,R2,0.012,0.003,0.2145,1.2000000000000002
U002,P022,equities,R2,0.085,0.153,0.1311,1.2000000000000002
U002,P082,equities,R2,0.085,0.153,0.1311,1.2000000000000002
U002,P058,equities,R3,0.078,0.163,0.0919,1.2000000000000002
U003,P113,cash_equivalents,R2,0.014,0.003,0.3618,2.6000000000000005
U003,P082,equities,R2,0.085,0.153,0.0768,2.6000000000000005
U003,P052,alternative_assets,R2,0.085,0.153,0.0768,2.6000000000000005
U003,P022,equities,R2,0.085,0.153,0.0768,2.6000000000000005
U003,P037,fixed_income,R2,0.102,0.185,0.0717,2.6000000000000005
U003,P067,cash_equivalents,R2,0.102,0.185,0.0717,2.6000000000000005
U003,P007,cash_equivalents,R2,0.102,0.185,0.0717,2.6000000000000005
U003,P097,fixed_income,R2,0.102,0.185,0.0717,2.6000000000000005
U003,P073,fixed_income,R3,0.123,0.227,0.0605,2.6000000000000005
U003,P013,fixed_income,R3,0.123,0.227,0.0605,2.6000000000000005
U004,P056,alternative_assets,R1,0.051,0.038,0.1667,4.224000000000001
U004,P086,equities,R1,0.051,0.038,0.1667,4.224000000000001
U004,P046,equities,R1,0.051,0.038,0.1667,4.224000000000001
U004,P026,equities,R1,0.051,0.038,0.1667,4.224000000000001
U004,P016,alternative_assets,R1,0.051,0.038,0.1667,4.224000000000001
U004,P076,alternative_assets,R1,0.051,0.038,0.1667,4.224000000000001
U006,P022,equities,R2,0.085,0.153,0.1494,1.6800000000000002
U006,P082,equities,R2,0.085,0.153,0.1494,1.6800000000000002
U006,P113,cash_equivalents,R2,0.014,0.003,0.1307,1.6800000000000002
U006,P116,cash_equivalents,R2,0.012,0.003,0.1183,1.6800000000000002
U006,P118,cash_equivalents,R2,0.011,0.002,0.115,1.6800000000000002
U006,P058,equities,R3,0.078,0.163,0.0717,1.6800000000000002
U006,P052,alternative_assets,R2,0.085,0.153,0.0704,1.6800000000000002
U006,P067,cash_equivalents,R2,0.102,0.185,0.065,1.6800000000000002
U006,P007,cash_equivalents,R2,0.102,0.185,0.065,1.6800000000000002
U006,P097,fixed_income,R2,0.102,0.185,0.065,1.6800000000000002
U007,P016,alternative_assets,R1,0.051,0.038,0.3522,5.0
U007,P046,equities,R1,0.051,0.038,0.3473,5.0
U007,P031,cash_equivalents,R1,0.042,0.021,0.1503,5.0
U007,P001,fixed_income,R1,0.042,0.021,0.1503,5.0
U008,P022,equities,R2,0.085,0.153,0.1049,2.0000000000000004
U008,P052,alternative_assets,R2,0.085,0.153,0.1049,2.0000000000000004
U008,P082,equities,R2,0.085,0.153,0.1049,2.0000000000000004
U008,P097,fixed_income,R2,0.102,0.185,0.1033,2.0000000000000004
U008,P007,cash_equivalents,R2,0.102,0.185,0.1033,2.0000000000000004
U008,P037,fixed_income,R2,0.102,0.185,0.1033,2.0000000000000004
U008,P067,cash_equivalents,R2,0.102,0.185,0.1033,2.0000000000000004
U008,P043,cash_equivalents,R3,0.123,0.227,0.0907,2.0000000000000004
U008,P073,fixed_income,R3,0.123,0.227,0.0907,2.0000000000000004
U008,P013,fixed_income,R3,0.123,0.227,0.0907,2.0000000000000004
U009,P112,fixed_income,R2,0.026,0.022,0.5329,2.228571428571429
U009,P115,fixed_income,R2,0.027,0.025,0.4671,2.228571428571429
U010,P079,cash_equivalents,R4,0.063,0.052,0.2526,1.0
U010,P073,fixed_income,R3,0.123,0.227,0.1933,1.0
U010,P043,cash_equivalents,R3,0.123,0.227,0.1933,1.0
U010,P058,equities,R3,0.078,0.163,0.1804,1.0
U010,P088,alternative_assets,R3,0.078,0.163,0.1804,1.0
U011,P113,cash_equivalents,R2,0.014,0.003,0.1924,1.6800000000000002
U011,P116,cash_equivalents,R2,0.012,0.003,0.181,1.6800000000000002
U011,P118,cash_equivalents,R2,0.011,0.002,0.1784,1.6800000000000002
U011,P022,equities,R2,0.085,0.153,0.1761,1.6800000000000002
U011,P082,equities,R2,0.085,0.153,0.1761,1.6800000000000002
U011,P058,equities,R3,0.078,0.163,0.096,1.6800000000000002
U012,P056,alternative_assets,R1,0.051,0.038,0.1667,5.0
U012,P016,alternative_assets,R1,0.051,0.038,0.1667,5.0
U012,P076,alternative_assets,R1,0.051,0.038,0.1667,5.0
U012,P046,equities,R1,0.051,0.038,0.1667,5.0
U012,P086,equities,R1,0.051,0.038,0.1667,5.0
U012,P026,equities,R1,0.051,0.038,0.1667,5.0
U013,P079,cash_equivalents,R4,0.063,0.052,0.1636,1.0000000000000002
U013,P019,cash_equivalents,R4,0.063,0.052,0.1636,1.0000000000000002
U013,P049,fixed_income,R4,0.063,0.052,0.1636,1.0000000000000002
U013,P070,equities,R5,0.145,0.269,0.0796,1.0000000000000002
U013,P040,alternative_assets,R5,0.145,0.269,0.0796,1.0000000000000002
U013,P100,alternative_assets,R5,0.145,0.269,0.0796,1.0000000000000002
U013,P010,equities,R5,0.145,0.269,0.0796,1.0000000000000002
U013,P013,fixed_income,R3,0.123,0.227,0.0635,1.0000000000000002
U013,P073,fixed_income,R3,0.123,0.227,0.0635,1.0000000000000002
U013,P043,cash_equivalents,R3,0.123,0.227,0.0635,1.0000000000000002
U014,P113,cash_equivalents,R2,0.014,0.003,0.1921,1.4000000000000004
U014,P116,cash_equivalents,R2,0.012,0.003,0.1811,1.4000000000000004
U014,P118,cash_equivalents,R2,0.011,0.002,0.1786,1.4000000000000004
U014,P082,equities,R2,0.085,0.153,0.176,1.4000000000000004
U014,P022,equities,R2,0.085,0.153,0.176,1.4000000000000004
U014,P058,equities,R3,0.078,0.163,0.0962,1.4000000000000004
U015,P113,cash_equivalents,R2,0.014,0.003,0.1462,2.0000000000000004
U015,P116,cash_equivalents,R2,0.012,0.003,0.132,2.0000000000000004
U015,P118,cash_equivalents,R2,0.011,0.002,0.1281,2.0000000000000004
U015,P082,equities,R2,0.085,0.153,0.0886,2.0000000000000004
U015,P052,alternative_assets,R2,0.085,0.153,0.0886,2.0000000000000004
U015,P022,equities,R2,0.085,0.153,0.0886,2.0000000000000004
U015,P037,fixed_income,R2,0.102,0.185,0.0819,2.0000000000000004
U015,P007,cash_equivalents,R2,0.102,0.185,0.0819,2.0000000000000004
U015,P067,cash_equivalents,R2,0.102,0.185,0.0819,2.0000000000000004
U015,P097,fixed_income,R2,0.102,0.185,0.0819,2.0000000000000004
U016,P022,equities,R2,0.085,0.153,0.2225,1.7142857142857146
U016,P113,cash_equivalents,R2,0.014,0.003,0.2031,1.7142857142857146
U016,P116,cash_equivalents,R2,0.012,0.003,0.1853,1.7142857142857146
U016,P118,cash_equivalents,R2,0.011,0.002,0.1807,1.7142857142857146
U016,P058,equities,R3,0.078,0.163,0.144,1.7142857142857146
U016,P052,alternative_assets,R2,0.085,0.153,0.0643,1.7142857142857146
U017,P056,alternative_assets,R1,0.051,0.038,0.1667,4.224000000000001
U017,P086,equities,R1,0.051,0.038,0.1667,4.224000000000001
U017,P046,equities,R1,0.051,0.038,0.1667,4.224000000000001
U017,P026,equities,R1,0.051,0.038,0.1667,4.224000000000001
U017,P016,alternative_assets,R1,0.051,0.038,0.1667,4.224000000000001
U017,P076,alternative_assets,R1,0.051,0.038,0.1667,4.224000000000001
U019,P073,fixed_income,R3,0.123,0.227,0.1638,0.7000000000000002
U019,P013,fixed_income,R3,0.123,0.227,0.1638,0.7000000000000002
U019,P043,cash_equivalents,R3,0.123,0.227,0.1638,0.7000000000000002
U019,P028,alternative_assets,R3,0.078,0.163,0.0973,0.7000000000000002
U019,P058,equities,R3,0.078,0.163,0.0973,0.7000000000000002
U019,P088,alternative_assets,R3,0.078,0.163,0.0973,0.7000000000000002
U019,P049,fixed_income,R4,0.063,0.052,0.0722,0.7000000000000002
U019,P079,cash_equivalents,R4,0.063,0.052,0.0722,0.7000000000000002
U019,P019,cash_equivalents,R4,0.063,0.052,0.0722,0.7000000000000002
U020,P086,equities,R1,0.051,0.038,0.1667,3.8400000000000007
U020,P056,alternative_assets,R1,0.051,0.038,0.1667,3.8400000000000007
U020,P076,alternative_assets,R1,0.051,0.038,0.1667,3.8400000000000007
U020,P046,equities,R1,0.051,0.038,0.1667,3.8400000000000007
U020,P016,alternative_assets,R1,0.051,0.038,0.1667,3.8400000000000007
U020,P026,equities,R1,0.051,0.038,0.1667,3.8400000000000007
U021,P070,equities,R5,0.145,0.269,0.1566,0.7000000000000002
U021,P010,equities,R5,0.145,0.269,0.1566,0.7000000000000002
U021,P040,alternative_assets,R5,0.145,0.269,0.1046,0.7000000000000002
U021,P100,alternative_assets,R5,0.145,0.269,0.1046,0.7000000000000002
U021,P073,fixed_income,R3,0.123,0.227,0.0827,0.7000000000000002
U021,P043,cash_equivalents,R3,0.123,0.227,0.0827,0.7000000000000002
U021,P013,fixed_income,R3,0.123,0.227,0.0827,0.7000000000000002
U021,P019,cash_equivalents,R4,0.063,0.052,0.0765,0.7000000000000002
U021,P049,fixed_income,R4,0.063,0.052,0.0765,0.7000000000000002
