user_id,target_return
U001,3.8
U002,1.8
U003,4.2
U004,2.8
U005,12.5
U006,4.8
U007,2.5
U008,7.2
U009,4.2
U010,7.2
U011,3.8
U012,2.5
U013,7.2
U014,4.2
U015,4.2
U016,2.5
U017,3.2
U018,12.5
U019,4.2
U020,3.2
U021,9.2
U022,4.2
U023,1.8
U024,2.3
U025,7.2
U026,3.8
U027,4.2
U028,7.2
U029,3.8
U030,2.8
U031,7.2
U032,2.5
U033,4.2
U034,12.5
U035,2.8
U036,4.2
U037,2.8
U038,4.2
U039,7.2
U040,4.2
U041,1.8
U042,4.2
U043,7.2
U044,3.2
U045,2.8
U046,9.05
U047,3.2
U048,4.2
U049,12.5
U050,2.5
U051,8.5
U052,4.2
U053,2.5
U054,7.2
U055,4.8
U056,2.8
U057,7.2
U058,4.2
U059,2.0
U060,8.5
U061,7.2
U062,4.2
U063,2.8
U064,4.2
U065,12.5
U066,2.5
U067,4.2
U068,7.2
U069,7.2
U070,4.2
U071,2.5
U072,2.8
U073,4.8
U074,7.2
U075,4.2
U076,1.8
U077,7.2
U078,4.2
U079,7.2
U080,3.2
U081,2.5
U082,4.2
U083,8.5
U084,4.2
U085,2.3
U086,7.2
U087,4.2
U088,8.2
U089,2.8
U090,1.8
U091,4.8
U092,7.2
U093,4.2
U094,2.5
U095,7.2
U096,4.2
U097,7.2
U098,3.2
U099,3.8
U100,3.2
